"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 04:05:53 UTC 2024","Fri Apr 05 04:06:43 UTC 2024","49959","","Profile - Setup Withdrawal Account","","","","User successfully save and delete account number [MOBILE2-1153 MOBILE2-1180] | PROD_NGT",""
"passed","Fri Apr 05 04:46:22 UTC 2024","Fri Apr 05 04:47:00 UTC 2024","37604","","Wallet Home","","","","User successfully redirected to receive coin page when click receive coin [MOBILE2-643] | PROD_NGT",""
"passed","Fri Apr 05 04:23:45 UTC 2024","Fri Apr 05 04:24:49 UTC 2024","64060","","Wallet Deposit IDR","","","","User cant deposit IDR by bank transfer with under minimum amount [MOBILE2-233] | PROD_NGT",""
"passed","Fri Apr 05 04:18:41 UTC 2024","Fri Apr 05 04:19:32 UTC 2024","50427","","Wallet Deposit IDR","","","","(Non-VIP MANDIRI) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1772] | PROD_NGT",""
"passed","Fri Apr 05 04:23:35 UTC 2024","Fri Apr 05 04:23:45 UTC 2024","10411","","Wallet Deposit IDR","","","","User cant deposit by E-Wallet (OVO) with under minimum amount [MOBILE2-234] | PROD_NGT",""
"passed","Fri Apr 05 03:47:59 UTC 2024","Fri Apr 05 03:48:05 UTC 2024","5815","","Home","","","","User successfully redirected to staking page when click staking entrypoint on homecircle [MOBILE2-1532] | PROD_NGT",""
"passed","Fri Apr 05 03:57:59 UTC 2024","Fri Apr 05 03:58:05 UTC 2024","5945","","Profile - My Account","","","","User successfully redirected to live chat web view page when click live chat here link [MOBILE2-1137] | PROD_NGT",""
"passed","Fri Apr 05 04:29:34 UTC 2024","Fri Apr 05 04:29:43 UTC 2024","8450","","Wallet Receive Coin","","","","User successfully receive coins from external [MOBILE2-1622] | PROD_NGT",""
"passed","Fri Apr 05 04:23:15 UTC 2024","Fri Apr 05 04:23:35 UTC 2024","19574","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"broken","Fri Apr 05 03:48:22 UTC 2024","Fri Apr 05 03:48:44 UTC 2024","22506","","Home","","","","User can successfully redirected to the Info & Promo webview page when click “See all” CTA and click a banner [MOBILE2-349 MOBILE2-350] | PROD_NGT",""
"passed","Fri Apr 05 03:56:02 UTC 2024","Fri Apr 05 03:56:43 UTC 2024","40765","","Profile - Google Authenticator","","","","User successfully deactivated and activated google authenticator [MOBILE2-1186 MOBILE2-1187] | PROD_NGT",""
